code,desc,prov,Fcomp,venc,cant,precio_compra,precio_venta
P00002,Arroz,DonVal,15/02/2026,15/02/2027,25,620.00,890.00
P00013,Rodillo,Pintar,28/02/2026,28/02/2028,8,2500.00,3350.00
P00003,Azucar,SolSur,10/01/2026,10/01/2027,18,540.75,790.00
P00006,Te,Andes,12/02/2026,12/02/2027,14,760.00,1090.00
P00001,Leche,LaSeren,01/03/2026,01/05/2026,12,850.50,1200.00
P00007,Cafe,Brava,18/01/2026,18/01/2027,10,1450.00,1980.00
P00009,Galletas,DulceMar,08/03/2026,08/09/2026,40,210.00,350.00
P00011,Shampoo,Capilar,14/03/2026,14/09/2027,15,980.00,1420.00
P00004,Fideos,Pastal,20/02/2026,20/08/2026,30,430.00,650.00
P00012,Detergente,Brillo,03/03/2026,03/03/2027,11,670.00,950.00
P00008,Yerba,MateLuz,25/02/2026,25/02/2027,16,1320.00,1790.00
P00014,Cuaderno,Nota,17/02/2026,17/02/2029,50,120.00,190.00
P00005,Harina,MolinoN,05/03/2026,05/03/2027,20,390.00,580.00
P00015,Lapiz,Grafi,09/03/2026,09/03/2029,100,45.00,80.00
P00010,Jabon,Limpio,11/02/2026,11/02/2028,22,310.00,470.00
