"periodo";"nivel_general_aperturas";"indice_icc"
"1/1/2022";"1_50v1513970_d3_713rr@$";100
"1/1/2022";"2_3$7ruc7ur@";100
"1/1/2022";"3_@|8@91|3r1@";100
"1/1/2022";"4_y3$3r1@";100
"1/1/2022";"5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10";100
"1/1/2022";"6_19$7@|@c109_d3_g@$";100
"1/1/2022";"7_19$7@|@c109_3|3c7r1c@";100
"1/1/2022";"8_c@rp1973r1@_537@|1c@_y_h3rr3r1@";100
"1/1/2022";"9_c@rp1973r1@_d3_5@d3r@";100
"1/1/2022";"10_@$c39$0r3$";100
"1/1/2022";"11_v1dr10$";100
"1/1/2022";"12_p197ur@";100
"1/1/2022";"13_07r0$_7r@8@j0$_y_g@$70$";100
"1/2/2022";"1_50v1513970_d3_713rr@$";103,812933254688
"1/2/2022";"2_3$7ruc7ur@";104,410773484463
"1/2/2022";"3_@|8@91|3r1@";103,927129746759
"1/2/2022";"4_y3$3r1@";104,401086250664
"1/2/2022";"5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10";103,745420563839
"1/2/2022";"6_19$7@|@c109_d3_g@$";101,542653418102
"1/2/2022";"7_19$7@|@c109_3|3c7r1c@";103,949007322413
"1/2/2022";"8_c@rp1973r1@_537@|1c@_y_h3rr3r1@";105,61061404405
"1/2/2022";"9_c@rp1973r1@_d3_5@d3r@";104,348301581399
"1/2/2022";"10_@$c39$0r3$";100,573196712996
"1/2/2022";"11_v1dr10$";102,077324810975
"1/2/2022";"12_p197ur@";101,735606808807
"1/2/2022";"13_07r0$_7r@8@j0$_y_g@$70$";103,472367445486
"1/3/2022";"1_50v1513970_d3_713rr@$";105,983075692185
"1/3/2022";"2_3$7ruc7ur@";109,511396618843
"1/3/2022";"3_@|8@91|3r1@";109,514064023334
"1/3/2022";"4_y3$3r1@";109,920892614676
"1/3/2022";"5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10";108,375716376808
"1/3/2022";"6_19$7@|@c109_d3_g@$";107,360815518714
"1/3/2022";"7_19$7@|@c109_3|3c7r1c@";109,003925417076
"1/3/2022";"8_c@rp1973r1@_537@|1c@_y_h3rr3r1@";107,490549238831
"1/3/2022";"9_c@rp1973r1@_d3_5@d3r@";109,423871913209
"1/3/2022";"10_@$c39$0r3$";103,236278786649
"1/3/2022";"11_v1dr10$";108,048172110063
"1/3/2022";"12_p197ur@";106,142159995352
"1/3/2022";"13_07r0$_7r@8@j0$_y_g@$70$";110,412349575103
"1/4/2022";"1_50v1513970_d3_713rr@$";109,294937307645
"1/4/2022";"2_3$7ruc7ur@";112,213708956353
"1/4/2022";"3_@|8@91|3r1@";110,331880332928
"1/4/2022";"4_y3$3r1@";111,724422929335
"1/4/2022";"5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10";112,976240686068
"1/4/2022";"6_19$7@|@c109_d3_g@$";113,027152326858
